,Input1,Input2,Input3,Input4,Input5,Output1,Output2,Output3,Output4,Output5,Output6,Output7,Output8,Output9,Output10
0,17.132137,17.425112,21.607169,17.365019,24.632754,18.043051,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485
1,17.425112,21.607169,17.365019,24.632754,18.043051,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449
2,21.607169,17.365019,24.632754,18.043051,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289
3,17.365019,24.632754,18.043051,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759
4,24.632754,18.043051,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811
5,18.043051,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017
6,21.59754,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479
7,17.255781,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095
8,18.668157,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989
9,17.56827,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023
10,21.163116,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291
11,19.151768,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351
12,17.880942,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717
13,23.783979,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399
14,20.133485,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044
15,22.92449,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848
16,21.820289,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608
17,22.188759,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202
18,22.069811,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136
19,24.027017,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643
20,24.907479,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935
21,23.68095,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795
22,23.778989,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688
23,24.162023,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437
24,26.050291,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744
25,27.668351,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094
26,31.794717,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071
27,31.106399,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075
28,34.927044,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306
29,32.312848,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539
30,35.470608,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407
31,30.078202,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518
32,29.387136,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211
33,33.613643,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341
34,35.033935,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374
35,30.571795,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796
36,34.163688,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035
37,32.437437,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084
38,31.527744,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139
39,35.201094,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785
40,31.074071,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654
41,36.589075,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377
42,28.355306,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855
43,28.995539,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681
44,30.856407,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625
45,33.809518,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521
46,30.981211,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274
47,31.138341,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788
48,30.499374,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212
49,28.068796,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548
50,26.687035,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341
51,31.630084,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448
52,28.610139,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257
53,29.538785,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896
54,26.495654,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159
55,29.198377,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072
56,29.706855,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323
57,27.919681,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845
58,29.849625,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552
59,33.011521,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901
60,29.93274,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321
61,29.728788,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518
62,31.309212,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964
63,31.166548,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908
64,30.629341,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445
65,29.584448,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738
66,25.786257,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923
67,29.663896,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626
68,26.182159,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018
69,25.833072,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201
70,26.788323,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358
71,25.947845,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314
72,28.063552,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234
73,25.025901,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134
74,26.129321,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128
75,26.452518,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056
76,27.626964,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453
77,26.88908,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034
78,25.494445,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053
79,26.16738,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103
80,26.982923,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015
81,26.023626,26.29018,26.326201,25.883358,26.410314,23.830234,26.214134,25.739128,26.639056,25.810453,25.997034,26.141053,24.151103,24.214015,25.497156
